video_id,likes,dislikes,comment_count,thumbnail_link
8HON4AswPVk,4007,71,240,https://i.ytimg.com/vi/8HON4AswPVk/default.jpg
4GFAZBKZVJY,248684,8972,0,https://i.ytimg.com/vi/4GFAZBKZVJY/default.jpg
au3S8F08v54,45,0,9,https://i.ytimg.com/vi/au3S8F08v54/default.jpg
hIwRdDcQBEU,1654,87,166,https://i.ytimg.com/vi/hIwRdDcQBEU/default.jpg
Jj0uBQ7j5c4,1035,62,60,https://i.ytimg.com/vi/Jj0uBQ7j5c4/default.jpg
tSjvx_c4meE,6850,378,836,https://i.ytimg.com/vi/tSjvx_c4meE/default.jpg
KgBWLAKxi-c,14285,517,3577,https://i.ytimg.com/vi/KgBWLAKxi-c/default.jpg
CCPX4EYrskw,1550,26,40,https://i.ytimg.com/vi/CCPX4EYrskw/default.jpg
UWl2fVxb-Mc,12193,346,4337,https://i.ytimg.com/vi/UWl2fVxb-Mc/default.jpg
iNf6VErGDLI,67227,1473,4645,https://i.ytimg.com/vi/iNf6VErGDLI/default.jpg
JD40Q9esDws,2666,120,657,https://i.ytimg.com/vi/JD40Q9esDws/default.jpg
KSbHlycTciM,2619,1767,1057,https://i.ytimg.com/vi/KSbHlycTciM/default.jpg
IVRVXYCrr14,3776,91,320,https://i.ytimg.com/vi/IVRVXYCrr14/default.jpg
ROzC9ZySGos,115031,13504,11789,https://i.ytimg.com/vi/ROzC9ZySGos/default.jpg
TUv06BScsp0,3936,54,508,https://i.ytimg.com/vi/TUv06BScsp0/default.jpg
dgW5kpeSB1A,770,30,63,https://i.ytimg.com/vi/dgW5kpeSB1A/default.jpg
b-ufhlIlfmA,803,13,153,https://i.ytimg.com/vi/b-ufhlIlfmA/default.jpg
L99Bi097wak,2470,96,120,https://i.ytimg.com/vi/L99Bi097wak/default.jpg
14G7U6pTcFk,570,42,96,https://i.ytimg.com/vi/14G7U6pTcFk/default.jpg
1eS_17CG9sk,5540,42,954,https://i.ytimg.com/vi/1eS_17CG9sk/default.jpg
kROW5iooUKE,3386,32,142,https://i.ytimg.com/vi/kROW5iooUKE/default.jpg
NWdc7PyZNLA,190116,16758,11083,https://i.ytimg.com/vi/NWdc7PyZNLA/default.jpg
jSJr3dXZfcg,135719,3422,25986,https://i.ytimg.com/vi/jSJr3dXZfcg/default.jpg
nR3OdeqiEF8,3222,62,539,https://i.ytimg.com/vi/nR3OdeqiEF8/default.jpg
CFMRJSPDr2k,14797,1348,2913,https://i.ytimg.com/vi/CFMRJSPDr2k/default.jpg
wGxT2tg4It0,51996,8415,9422,https://i.ytimg.com/vi/wGxT2tg4It0/default.jpg
kNOTqGpcDw0,2271,52,381,https://i.ytimg.com/vi/kNOTqGpcDw0/default.jpg
s2zlBSsumeI,26382,613,2494,https://i.ytimg.com/vi/s2zlBSsumeI/default.jpg
NLCfRHdi6Ig,677,8,139,https://i.ytimg.com/vi/NLCfRHdi6Ig/default.jpg
V54CEElTF_U,694768,20257,50164,https://i.ytimg.com/vi/V54CEElTF_U/default.jpg
jDvKFN6aYsE,19191,1659,966,https://i.ytimg.com/vi/jDvKFN6aYsE/default.jpg
o3CaFMmKA7A,35589,508,4226,https://i.ytimg.com/vi/o3CaFMmKA7A/default.jpg
M_wZMgZNpaM,18426,214,870,https://i.ytimg.com/vi/M_wZMgZNpaM/default.jpg
MjdpR-TY6QU,119584,1021,8809,https://i.ytimg.com/vi/MjdpR-TY6QU/default.jpg
T8jBIVi6rrM,109082,8251,6312,https://i.ytimg.com/vi/T8jBIVi6rrM/default.jpg
xxWXD073Ql0,11311,428,241,https://i.ytimg.com/vi/xxWXD073Ql0/default.jpg
