video_id,views,likes,dislikes,comment_count,thumbnail_link
CtBca6H6Teg,829132,25109,316,3428,https://i.ytimg.com/vi/CtBca6H6Teg/default.jpg
pcWKpGzhgq4,391049,5939,106,385,https://i.ytimg.com/vi/pcWKpGzhgq4/default.jpg
L3br0klRqF4,137003,580,262,343,https://i.ytimg.com/vi/L3br0klRqF4/default.jpg
9kF9xY74h-E,891912,122347,455,7459,https://i.ytimg.com/vi/9kF9xY74h-E/default.jpg
p2EY93WfBQk,175539,17130,264,1747,https://i.ytimg.com/vi/p2EY93WfBQk/default.jpg
xL_qpDkF5A8,14565,478,13,67,https://i.ytimg.com/vi/xL_qpDkF5A8/default.jpg
eQVhAN7-IAw,125645,16754,65,1373,https://i.ytimg.com/vi/eQVhAN7-IAw/default.jpg
2kyS6SvSYSE,2188590,88099,7150,24225,https://i.ytimg.com/vi/2kyS6SvSYSE/default.jpg
Y9nDagqKL7Q,394709,25188,281,1345,https://i.ytimg.com/vi/Y9nDagqKL7Q/default.jpg
DbJ2s_g1oDc,863116,20518,1030,4272,https://i.ytimg.com/vi/DbJ2s_g1oDc/default.jpg
KJ12FVmumeA,200235,1197,108,627,https://i.ytimg.com/vi/KJ12FVmumeA/default.jpg
1ZAPwfrtAFY,4632016,131784,9892,18284,https://i.ytimg.com/vi/1ZAPwfrtAFY/default.jpg
qDAxDcjgn-8,122426,6310,298,1624,https://i.ytimg.com/vi/qDAxDcjgn-8/default.jpg
gHZ1Qz0KiKM,758998,19138,2272,2873,https://i.ytimg.com/vi/gHZ1Qz0KiKM/default.jpg
815lSYphlbw,145100,5198,74,657,https://i.ytimg.com/vi/815lSYphlbw/default.jpg
jr9QtXwC9vc,2671756,12699,505,1010,https://i.ytimg.com/vi/jr9QtXwC9vc/default.jpg
E_86MEdNsAI,52743,4553,33,550,https://i.ytimg.com/vi/E_86MEdNsAI/default.jpg
Cr9oGxr0Qa0,121681,6095,61,731,https://i.ytimg.com/vi/Cr9oGxr0Qa0/default.jpg
g0K5QoEj7FQ,11404,62,26,20,https://i.ytimg.com/vi/g0K5QoEj7FQ/default.jpg
l4bAoNAx2uo,419965,9805,1337,5457,https://i.ytimg.com/vi/l4bAoNAx2uo/default.jpg
TSqwDQHE1J8,137749,1145,61,131,https://i.ytimg.com/vi/TSqwDQHE1J8/default.jpg
puqaWrEC7tY,772235,15301,1229,3328,https://i.ytimg.com/vi/puqaWrEC7tY/default.jpg
YVfyYrEmzgM,297147,10410,110,665,https://i.ytimg.com/vi/YVfyYrEmzgM/default.jpg
MltuW2kcREI,126438,12229,86,1865,https://i.ytimg.com/vi/MltuW2kcREI/default.jpg
5E4ZBSInqUU,2285136,180284,3399,11700,https://i.ytimg.com/vi/5E4ZBSInqUU/default.jpg
jGiqc3HSxEg,206319,11131,209,553,https://i.ytimg.com/vi/jGiqc3HSxEg/default.jpg
XrDlDj9DfZs,60564,975,66,106,https://i.ytimg.com/vi/XrDlDj9DfZs/default.jpg
vU14JY3x81A,373457,16433,194,5220,https://i.ytimg.com/vi/vU14JY3x81A/default.jpg
5qpjK5DgCt4,4326684,167696,6730,9265,https://i.ytimg.com/vi/5qpjK5DgCt4/default.jpg
Z3OZyb2iWqQ,137860,1950,64,136,https://i.ytimg.com/vi/Z3OZyb2iWqQ/default.jpg
Hq89wYzOjfs,4009,61,6,14,https://i.ytimg.com/vi/Hq89wYzOjfs/default.jpg
vZzIS17HexE,3006,75,4,10,https://i.ytimg.com/vi/vZzIS17HexE/default.jpg
TUmyygCMMGA,635985,20721,2417,4111,https://i.ytimg.com/vi/TUmyygCMMGA/default.jpg
lZ68j2J_GOM,130893,8177,220,349,https://i.ytimg.com/vi/lZ68j2J_GOM/default.jpg
yZGSIpcAfEo,46954,87,18,28,https://i.ytimg.com/vi/yZGSIpcAfEo/default.jpg
zZ9FciUx6gs,208155,11162,569,954,https://i.ytimg.com/vi/zZ9FciUx6gs/default.jpg
zxUwbflE1SY,190669,5162,131,1151,https://i.ytimg.com/vi/zxUwbflE1SY/default.jpg
d380meD0W0M,2509626,144816,2262,18893,https://i.ytimg.com/vi/d380meD0W0M/default.jpg
7oRdswHqaf8,20778,1440,24,437,https://i.ytimg.com/vi/7oRdswHqaf8/default.jpg
oTObwUiXdYY,30438,143,42,220,https://i.ytimg.com/vi/oTObwUiXdYY/default.jpg
qC0I5PEhkJo,94694,136,11,31,https://i.ytimg.com/vi/qC0I5PEhkJo/default.jpg
VifQlJit6A0,211683,2279,545,1838,https://i.ytimg.com/vi/VifQlJit6A0/default.jpg
PaJCFHXcWmM,210393,8996,290,4043,https://i.ytimg.com/vi/PaJCFHXcWmM/default.jpg
0zk2SwmCpss,63780,831,12,301,https://i.ytimg.com/vi/0zk2SwmCpss/default.jpg
SGVbdo2CkgI,18438,563,16,29,https://i.ytimg.com/vi/SGVbdo2CkgI/default.jpg
nc99ccSXST0,1099318,26813,1047,3827,https://i.ytimg.com/vi/nc99ccSXST0/default.jpg
NfLVVJOuY5M,71661,6310,18,300,https://i.ytimg.com/vi/NfLVVJOuY5M/default.jpg
