175879,2628,1770,1057
3057705,117150,13771,11890
177145,3993,54,514
81157,2494,97,120
17227,817,14,153
102608,583,46,98
91182,3421,32,143
7590874,138279,3461,26438
113286,3266,62,539
369367,15007,1365,2955
1717319,52216,8436,9425
745860,26520,622,2539
164498,2472,57,410
21893347,706163,20875,50812
16074,689,8,142
395808,36053,512,4275
474692,19607,1671,955
405412,18880,216,855
318635,11427,431,248
17957402,238446,10802,13480
2120634,120500,1025,8840
3781831,110267,8336,6402
2496894,38177,1683,2759
406930,2423,282,1046
194293,4618,61,709
949695,18316,267,889
84212,84,108,75
6044998,87957,2208,8407
694643,9343,654,523
445417,11163,347,320
995222,7317,457,0
1092582,28594,643,1671
1250558,41463,639,2731
13763329,225673,13896,10918
4292852,228735,3421,28899
1284910,35976,736,7919
624406,13408,210,530
1091470,24725,593,933
769047,10512,531,642
8432344,422697,8366,20291
1009304,31775,550,960
352531,13794,473,1045
141556,2840,276,452
2082499,47510,317,2215
214201,8144,380,2650
4722974,119108,3782,6651
65647,3968,77,330
309107,25808,457,2022
1673865,22086,1013,1278
505886,23207,5376,7030
2935330,281098,2679,16009
1117510,61075,463,64506
334497,12594,622,588
3483755,789753,2840,72376
490925,8040,320,1001
29455,1183,23,116
655161,21013,2563,2671
129777,4471,140,372
1698875,18073,1013,1751
1276326,70960,811,4293
816696,29135,1267,8648
1884763,135815,3303,12752
1693011,84669,810,14183
6802437,83512,3909,17281
270859,11492,576,1715
677167,31301,747,1690
1716572,46900,2404,10160
804363,39817,6304,10586
1285196,63951,3249,301
736829,18708,794,6460
463992,25840,509,3708
81947,8184,146,922
326709,5340,207,323
4281966,46971,2538,3009
66344,2859,83,701
218153,5155,308,655
100515,3373,64,1789
516456,21523,1107,2972
284037,9821,397,708
223884,2272,32,238
2486210,83812,1273,4472
420033,14353,147,1071
116732,5023,314,1086
34248,1867,51,426
219211,6111,109,479
381983,26623,263,3331
121358,1476,104,360
76475,4208,44,284
615712,38795,594,2446
76491,3850,95,217
531746,32749,642,1731
88644,5172,453,976
172883,6589,231,197
69199,4237,15,220
113926,1026,37,333
101539,3424,129,259
28062,308,40,220
93811,415,43,55
77486,5189,60,3194
3228511,204840,3983,12937
391156,18623,246,777
55460,3871,96,428
647464,19174,449,1268
149052,2867,80,222
244538,12392,236,598
276240,1585,482,1196
54697,1693,65,79
91700,2378,187,363
82048,3539,144,347
117545,726,40,486
34262,2023,71,299
1776127,35741,3214,3585
24578152,891283,51977,125444
142666,7837,61,599
8041928,60434,11437,7545
179187,4573,151,977
68349,1140,39,244
26303,2545,11,163
47605,1560,73,143
99510,2749,133,228
141308,4455,169,327
19728,491,9,30
1182515,55951,649,0
31297,2540,17,134
113786,20376,51,995
25596,1139,18,86
236781,1076,26,161
63124,312,28,73
70986,729,133,109
17679753,248909,21039,13058
374939,10469,330,548
48461709,1858753,26142,92121
209145,2711,175,278
1650225,48599,1201,2125
8137962,315653,5065,12337
17796,1148,16,157
287448,1872,144,346
414658,9936,3177,3345
2720774,76529,1960,3599
1341387,29318,1092,1143
2323897,103436,12863,11979
829974,13402,2294,1153
10417776,164685,14634,7078
101168,5287,360,491
1007743,33469,665,1559
3966864,326127,2714,12384
225487,10268,126,649
681434,6923,234,2482
3745303,219274,3601,20647
5851,329,27,84
2282109,94212,1340,6313
1697221,54743,1597,6076
123195,5376,92,317
524276,56223,198,3064
150307,5913,56,397
5645,157,288,100
80525,2024,215,348
435355,4994,182,196
133881,1650,47,214
512261,20725,290,978
5139,50,10,16
161562,9549,77,984
287234,11488,218,1607
195802,9111,113,349
59125,955,14,64
113313,4975,28,729
2625728,77249,3042,4932
192940,4122,305,343
237014,1945,100,448
371031,23519,749,1532
1559,89,12,40
1506783,89589,2702,1127
11397893,850281,17737,60671
667222,5604,205,459
118393,6231,244,354
48507,49,12,96
242314,15155,417,1127
2879124,9227,995,1414
318213,16116,404,996
84138,2097,83,211
3311531,96328,2876,7472
900741,38761,240,1625
332101,17547,159,953
862318,27208,2068,5276
97557,909,52,188
63777,923,239,1045
401951,507,112,135
134746,6073,57,266
108768,5188,104,279
40316,392,62,36
1114604,38325,607,6725
178524,302,10,64
586091,423,59,47
410314,1861,132,275
220082,10232,133,1179
747316,0,0,0
156247,5822,42,552
934802,37150,2261,14367
255787,6645,387,315
29738,1129,35,109
67213,398,15,27
34176,54,1,37
286883,11774,342,520
377669,15730,227,1157
107624,4608,67,613
8085305,344491,10354,17609
161378,1174,1174,0
191582,876,66,437
17329415,267848,34898,36145
1186121,49101,3531,7091
910284,21884,505,3213
7540555,336155,5242,24302
688046,6600,724,2517
294797,3746,325,1640
293139,9012,251,531
3414406,166457,1878,10544
217869,6711,156,615
4871973,364117,2054,34637
135985,9450,88,681
66374,3832,79,514
2255227,144085,2347,12074
11340,844,16,197
240136,2812,374,529
55244,189,191,83
84045,5843,30,931
231939,2947,211,594
104006,2343,413,87
1173500,5031,402,3188
366991,14967,197,1675
7137223,429076,4617,38149
12858,463,7,97
720322,22986,314,2134
138991,10009,17,306
731007,4022,72,240
2254,45,0,9
145263,1124,68,62
35463645,316384,12902,0
433518,14615,537,3640
1219133,12246,347,4346
185923,2727,122,664
1677111,69379,1586,4695
175955,2630,1771,1058
178431,4008,54,450
